Year,Geno,Row,Plant,WR,Root,Ratio,ai2,bi2,ao,bo,MajorD,MinorD,MajorThicc2,MinorThicc2,K,BL,UL,MOI,E_MPa,E_GPa,MOI_AH,E_GPa_AH,MajorD_AH,MajorD_cm,MinorD_AH,MajorT_AH,MinorT_AH
2019,W64A,1358,1,BWR,1,0.342954,1.169,1.51,2.03,2.774,5.548,4.06,1.264,0.861,418.82831,20.29697,33.2489,18.22570984,2352.107162,2.352107162,18.22570984,2.352107162,5.548,0.5548,4.06,1.264,0.861
2019,W64A,1358,4,BWR,1,0.4116,1.129,1.531,2.391,2.783,5.566,4.782,1.252,1.262,269.00749,17.78181,24.30947,29.87733221,921.5694787,0.921569479,29.87733221,0.921569479,5.566,0.5566,4.782,1.252,1.262
2019,W64A,1358,5,BWR,1,0.864562,1.19,1.761,2.042,2.77,5.54,4.084,1.009,0.852,262.26853,12.31445,22.62638,18.5240892,1449.155018,1.449155018,18.5240892,1.449155018,5.54,0.554,4.084,1.009,0.852
2019,W64A,1358,10,BWR,1,0.722657,1.465,1.665,2.295,2.705,5.41,4.59,1.04,0.83,209.40987,15.50045,23.97729,25.6806032,834.6366544,0.834636654,25.6806032,0.834636654,5.41,0.541,4.59,1.04,0.83
2019,HP301,1278,1,BWR,1,0.047083,0.658,1.178,1.946,2.194,4.388,3.892,1.016,1.288,351.67733,21.01927,26.86305,12.6985757,2834.620267,2.834620267,12.6985757,2.834620267,4.388,0.4388,3.892,1.016,1.288
2019,HP301,1278,2,BWR,1,0.447448,0.855,1.292,2.083,2.399,4.798,4.166,1.107,1.228,287.14736,18.33379,25.08951,17.0289527,1725.92697,1.72592697,17.0289527,1.72592697,4.798,0.4798,4.166,1.107,1.228
2019,HP301,1278,2,BWR,2,0.447448,0.861,1.243,2.075,2.336,4.672,4.15,1.093,1.214,478.17078,26.86168,46.53734,16.39143678,2985.874416,2.985874416,16.39143678,2.985874416,4.672,0.4672,4.15,1.093,1.214
2019,HP301,1278,2,BWR,3,0.447448,0.808,1.136,1.709,1.955,3.91,3.418,0.819,0.901,316.57885,23.64707,27.47561,7.664129445,4227.89889,4.22789889,7.664129445,4.22789889,3.91,0.391,3.418,0.819,0.901
2019,HP301,1278,3,BWR,1,0.600669,0.53,0.77,1.045,1.265,2.53,2.09,0.495,0.515,185.63319,6.78454,9.53153,1.13378127,16758.37392,16.75837392,1.13378127,16.75837392,2.53,0.253,2.09,0.495,0.515
2019,HP301,1278,3,BWR,3,0.600669,0.246,1.363,0.778,2.021,4.042,1.556,0.658,0.532,171.99978,8.47031,14.183,0.747472098,23552.577,23.552577,0.747472098,23.552577,4.042,0.4042,1.556,0.658,0.532
2019,HP301,1278,4,BWR,1,0.701591,0.103,1.044,0.803,1.512,3.024,1.606,0.468,0.7,192.19259,9.59974,15.80803,0.614877085,31992.91836,31.99291836,0.614877085,31.99291836,3.024,0.3024,1.606,0.468,0.7
2019,HP301,1278,5,BWR,1,0.607383,0.782,1.206,1.415,1.865,3.73,2.83,0.659,0.633,146.51672,10.31522,16.56992,4.149903874,3613.721482,3.613721482,4.149903874,3.613721482,3.73,0.373,2.83,0.659,0.633
2019,HP301,1278,5,BWR,2,0.607383,0.536,1.413,1.137,2.049,4.098,2.274,0.636,0.601,371.68045,20.47088,21.59267,2.365447066,16082.81296,16.08281296,2.365447066,16.08281296,4.098,0.4098,2.274,0.636,0.601
2019,HP301,1278,5,BWR,3,0.607383,0.741,1.098,1.656,2.083,4.166,3.312,0.985,0.915,134.08071,7.40688,11.42433,7.429509608,1847.190469,1.847190469,7.429509608,1.847190469,4.166,0.4166,3.312,0.985,0.915
